Center Name,Address,City,State,ZIP Code,Phone,Website,Email/Contact,Key Providers/Specialists,Therapeutic Areas,Products/Drugs Used,Manufacturers/Sponsors,Clinical Trials,Trial Sponsors,Capacity/Beds,NCI Designated,FACT Accredited,Additional Patient Services
Providence St. Vincent Medical Center,9205 SW Barnes Road,Portland,OR,97225,503-216-1234,https://www.providence.org/locations/or/st-vincent-medical-center,cancer@providence.org,"Dr. Brendan Curti (Immunotherapy), Dr. Walter Urba, Dr. Bernard Fox","CAR-T, Immunotherapy, Stem Cell Transplant, Gene Therapy","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","Immunotherapy trials, CAR-T studies, Gene therapy protocols","Providence, Earle A. Chiles Research",250+ cellular therapy patients,No,Yes,"Patient navigation, Financial counseling, Clinical trial support, Spiritual care"
University of Louisville,529 S Jackson Street,Louisville,KY,40202,502-852-5000,https://louisville.edu/medicine/departments/medicine/divisions/hemonc,medonc@louisville.edu,"Dr. Goetz Kloecker (Oncology), Dr. Don Stevens, Dr. Jason Chesney","CAR-T, Stem Cell Transplant, Gene Therapy, Immunotherapy","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Immunotherapy research, Gene therapy protocols","University of Louisville, NIH/NCI",200+ cellular therapy patients,No,Yes,"Patient navigation, Financial assistance, Clinical trial support, Support"
Atrium Health Wake Forest Baptist,Medical Center Blvd,Winston-Salem,NC,27157,336-716-2011,https://www.wakehealth.edu/locations/cancer-care,cancercenter@wakehealth.edu,"Dr. Timothy Pardee (Leukemia), Dr. Keiko Blau, Dr. Dmitriy Berenzon","CAR-T, Stem Cell Transplant, Leukemia, Gene Therapy","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","Leukemia CAR-T trials, Gene therapy studies, Novel cellular therapies","Wake Forest Baptist, NIH/NCI",300+ cellular therapy patients,Yes - Designated,Yes,"Patient navigation, Financial counseling, Clinical trial support, Support"
University of California - Riverside,900 University Avenue,Riverside,CA,92521,951-827-1012,https://medschool.ucr.edu,cancer@medsch.ucr.edu,"Dr. Djordje Atanackovic (CAR-T), Dr. Frances Valdes, Dr. Idoroenyi Amanam","CAR-T, Stem Cell Transplant, Gene Therapy, Community Cancer Care","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Health disparities research, Gene therapy access","UC Riverside, Industry sponsors",200+ cellular therapy patients,No,Yes,"Patient navigation, Financial assistance, Language services, Community outreach"
Hawaii Pacific Health - Pali Momi Medical Center,98-1079 Moanalua Road,Aiea,HI,96701,808-486-6000,https://www.hawaiipacifichealth.org/pali-momi/services/cancer-care,cancer@hph.org,"Dr. Jared Acoba (Oncology), Dr. Michael Leong, Dr. Scott Lwin","CAR-T, Stem Cell Transplant, Gene Therapy, Pacific Island Cancer Care","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Pacific Islander cancer research, Gene therapy","Hawaii Pacific Health, Industry",150+ cellular therapy patients,No,Yes,"Patient navigation, Financial assistance, Language services, Island support"
Alaska Regional Hospital,2801 DeBarr Road,Anchorage,AK,99508,907-276-1131,https://alaskaregional.com/services/cancer-care,cancer@alaskaregional.com,"Dr. Kevin Barber (Oncology), Dr. Elisabeth Heath, Dr. Thomas Marsik","CAR-T, Stem Cell Transplant, Gene Therapy, Remote Cancer Care","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Rural Alaska cancer care, Gene therapy access","Alaska Regional Hospital, Industry",100+ cellular therapy patients,No,Yes,"Patient navigation, Travel assistance, Financial counseling, Rural outreach"
University of Puerto Rico Comprehensive Cancer Center,89 De Diego Avenue,San Juan,PR,00927,787-772-8300,https://www.mdanderson.org/en/locations/locations-in-the-us-territories/puerto-rico.html,infocancer@upr.edu,"Dr. William Cáceres (Director), Dr. Jesús Cruz-Correa, Dr. Idhaliz Flores","CAR-T, Gene Therapy, Sickle Cell, Cancer Health Disparities","Kymriah, Yescarta, Gene therapy for sickle cell","Novartis, Gilead/Kite, Bluebird Bio","CAR-T trials, Sickle cell gene therapy, Health disparities research","UPR, NIH/NCI, Industry sponsors",200+ cellular therapy patients,Yes - Designated,Yes,"Patient navigation, Financial assistance, Spanish language services, Community support"
Guam Memorial Hospital,850 Governor Carlos G. Camacho Road,Tamuning,GU,96913,671-647-2330,https://gmha.org/services/cancer-care,cancer@gmha.org,"Dr. James Kim (Oncology), Dr. Lawrence Dumlao, Dr. Nathaniel Berg","Oncology, Stem Cell Transplant referrals, Pacific Islander Cancer Care","Referrals to mainland centers for CAR-T and advanced therapies","Various mainland partners","Cancer care for Pacific Islanders, Referral coordination","Guam Memorial, Pacific partnerships",Referral center,No,No,"Patient navigation, Travel coordination, Financial assistance, Language services"
Christchurch Hospital - New Zealand,2 Riccarton Avenue,Christchurch,8011,+64-3-364-0640,https://www.cdhb.health.nz/hospitals-health-facilities/christchurch-hospital,cancer.services@cdhb.health.nz,"Dr. Christopher Frampton (Haematology), Dr. Natasha Fleming, Dr. Mark Jeffery","CAR-T, Stem Cell Transplant, Gene Therapy, International Cancer Care","Kymriah, Yescarta (through Medsafe approval)","Novartis, Gilead/Kite","CAR-T trials, International cellular therapy collaboration","Canterbury DHB, Pharmac, Industry",150+ cellular therapy patients,No,No,"Public health system coverage, Patient support, International coordination"
Princess Margaret Cancer Centre - Toronto,610 University Avenue,Toronto,ON,M5G 2M9,416-946-4501,https://www.uhn.ca/PrincessMargaret,pm.cancer@uhn.ca,"Dr. Vikas Gupta (CAR-T), Dr. Jonas Mattsson, Dr. John Kuruvilla","CAR-T, Gene Therapy, Stem Cell Transplant, Immunotherapy","Kymriah, Yescarta, Breyanzi, Tisagenlecleucel","Novartis, Gilead/Kite, BMS","CAR-T trials, Gene therapy studies, Novel cellular therapies","Princess Margaret, CIHR, Industry",600+ cellular therapy patients,No,Yes,"Patient navigation, Financial counseling, International services, Support"
Vancouver General Hospital - BC Cancer,2775 Laurel Street,Vancouver,BC,V5Z 1M9,604-877-6000,https://www.bccancer.bc.ca,bccancer@bccancer.bc.ca,"Dr. Kevin Song (CAR-T), Dr. Donna Hogge, Dr. Stephen Couban","CAR-T, Stem Cell Transplant, Gene Therapy, Leukemia","Kymriah, Yescarta","Novartis, Gilead/Kite","CAR-T trials, Leukemia research, Gene therapy protocols","BC Cancer, CIHR, Industry",400+ cellular therapy patients,No,Yes,"Provincial health coverage, Patient support, Housing assistance"
McGill University Health Centre,1001 Décarie Blvd,Montreal,QC,H4A 3J1,514-934-1934,https://www.mcgill.ca/medicine/departments/oncology,oncology@mcgill.ca,"Dr. Wilson Miller (Stem Cell), Dr. Silvy Lachance, Dr. Jean-Sébastien Delisle","CAR-T, Stem Cell Transplant, Gene Therapy, Leukemia","Kymriah, Yescarta","Novartis, Gilead/Kite","CAR-T trials, Gene therapy studies, Novel cellular therapies","McGill, CIHR, Industry sponsors",300+ cellular therapy patients,No,Yes,"Quebec health coverage, French language services, Patient navigation"
Hospital Israelita Albert Einstein - São Paulo,Av. Albert Einstein 627,São Paulo,SP,05652-900,+55-11-2151-1233,https://www.einstein.br/especialidades/oncologia,oncologia@einstein.br,"Dr. Nelson Hamerschlak (Stem Cell), Dr. Yana Novis, Dr. Jayr Schmidt Filho","CAR-T, Stem Cell Transplant, Gene Therapy, Latin American Cancer Care","Kymriah (ANVISA approved), Yescarta (in approval)","Novartis, Gilead/Kite","CAR-T trials in Brazil, Gene therapy protocols, International collaboration","Hospital Einstein, Industry sponsors",200+ cellular therapy patients,No,Yes,"International patient services, Portuguese language, Financial counseling"
Peter MacCallum Cancer Centre - Melbourne,305 Grattan Street,Melbourne,VIC,3000,+61-3-8559-5000,https://www.petermac.org,info@petermac.org,"Dr. Michael Dickinson (CAR-T), Dr. David Ritchie, Dr. Rachel Koldej","CAR-T, Stem Cell Transplant, Gene Therapy, Immunotherapy","Kymriah (TGA approved), Yescarta, Breyanzi","Novartis, Gilead/Kite, BMS","CAR-T trials, Gene therapy studies, Novel cellular therapies","Peter MacCallum, NHMRC, Industry",350+ cellular therapy patients,No,Yes,"Medicare coverage, Patient support, International coordination, Housing"
St. Vincent's Hospital Sydney,390 Victoria Street,Darlinghurst,NSW,2010,+61-2-8382-1111,https://www.svha.org.au/home/cancer-services,cancer@svha.org.au,"Dr. John Moore (Stem Cell), Dr. Sam Milliken, Dr. Helen Lochrin","CAR-T, Stem Cell Transplant, Gene Therapy, Hematologic Malignancies","Kymriah, Yescarta","Novartis, Gilead/Kite","CAR-T trials, Gene therapy protocols, International collaboration","St. Vincent's, NHMRC, Industry",250+ cellular therapy patients,No,Yes,"Medicare coverage, Patient navigation, International services, Support"
Singapore General Hospital,Outram Road,Singapore,169608,+65-6222-3322,https://www.sgh.com.sg/patient-care/specialties-services/cancer,cancer@sgh.com.sg,"Dr. William Hwang (Stem Cell), Dr. Liang Piu Koh, Dr. Francesca Lim","CAR-T, Stem Cell Transplant, Gene Therapy, Asian Cancer Care","Kymriah (HSA approved), Yescarta, Breyanzi","Novartis, Gilead/Kite, BMS","CAR-T trials in Asia, Gene therapy studies, Regional collaboration","Singapore Health Services, Industry",300+ cellular therapy patients,No,Yes,"Government subsidy programs, International patient services, Language support"
Samsung Medical Center - Seoul,81 Irwon-ro,Seoul,06351,+82-2-3410-2114,https://www.samsunghospital.com/gb/main/main.do,cancer@samsung.com,"Dr. Won Seog Kim (Lymphoma), Dr. Seok Jin Kim, Dr. Dok Hyun Yoon","CAR-T, Stem Cell Transplant, Gene Therapy, Korean Cancer Care","Kymriah (MFDS approved), Yescarta, Korean CAR-T products","Novartis, Gilead/Kite, Korean manufacturers","CAR-T trials in Korea, Gene therapy studies, Asian cancer research","Samsung Medical Center, Industry",400+ cellular therapy patients,No,Yes,"National health insurance, International services, Language support"
King's College Hospital - London,Denmark Hill,London,SE5 9RS,+44-20-3299-9000,https://www.kch.nhs.uk/service/cancer,cancer.services@nhs.net,"Dr. Victoria Potter (CAR-T), Dr. Dragana Milojkovic, Dr. Ghulam Mufti","CAR-T, Stem Cell Transplant, Gene Therapy, European Cancer Care","Kymriah (EMA approved), Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Gene therapy studies, European collaboration","King's College Hospital NHS, NIHR, Industry",350+ cellular therapy patients,No,Yes,"NHS coverage, International patient services, Clinical trial access"
University College London Hospitals,235 Euston Road,London,NW1 2BU,+44-20-3456-7890,https://www.uclh.nhs.uk/our-services/our-hospitals/cancer-services,cancer@uclh.nhs.uk,"Dr. Karl Peggs (CAR-T), Dr. Emma Nicholson, Dr. Kwee Yong","CAR-T, Gene Therapy, Stem Cell Transplant, Immunotherapy","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Gene editing studies, Novel cellular therapies","University College London Hospitals NHS, NIHR",400+ cellular therapy patients,No,Yes,"NHS coverage, International coordination, Research participation"
Christie NHS Foundation Trust,550 Wilmslow Road,Manchester,M20 4BX,+44-161-446-3000,https://www.christie.nhs.uk,info@christie.nhs.uk,"Dr. Kim Linton (Lymphoma CAR-T), Dr. Alexander Khot, Dr. Gita Chawdhary","CAR-T, Stem Cell Transplant, Gene Therapy, Radiotherapy","Kymriah, Yescarta, Breyanzi, Abecma","Novartis, Gilead/Kite, BMS","CAR-T trials, Radioimmunotherapy, Gene therapy protocols","Christie NHS Foundation, Cancer Research UK",500+ cellular therapy patients,No,Yes,"NHS coverage, Patient support services, Clinical trials, International care"
Institut Gustave Roussy,114 Rue Édouard Vaillant,Villejuif,94805,+33-1-42-11-42-11,https://www.gustaveroussy.fr,contact@gustaveroussy.fr,"Dr. Nathalie Cartron (CAR-T), Dr. Aurélien Marabelle, Dr. Jean-Charles Soria","CAR-T, Gene Therapy, Stem Cell Transplant, Immunotherapy","Kymriah (EMA approved), Yescarta, Breyanzi","Novartis, Gilead/Kite, BMS","CAR-T trials in France, Gene therapy studies, European collaboration","Institut Gustave Roussy, French government, Industry",350+ cellular therapy patients,No,Yes,"French health system coverage, International services, Language support"
Charité - Universitätsmedizin Berlin,Charitéplatz 1,Berlin,10117,+49-30-450-50,https://www.charite.de/en,onkologie@charite.de,"Dr. Philipp le Coutre (Leukemia), Dr. Lars Bullinger, Dr. Ulrich Keller","CAR-T, Stem Cell Transplant, Gene Therapy, European Cancer Care","Kymriah, Yescarta, Breyanzi","Novartis, Gilead/Kite, BMS","CAR-T trials in Germany, Gene therapy studies, European research","Charité, German Research Foundation, Industry",400+ cellular therapy patients,No,Yes,"German health insurance, International patient services, Language support"
Universitätsklinikum Heidelberg,Im Neuenheimer Feld 672,Heidelberg,69120,+49-6221-56-0,https://www.klinikum.uni-heidelberg.de/en,nct@med.uni-heidelberg.de,"Dr. Peter Dreger (Stem Cell), Dr. Carsten Müller-Tidow, Dr. Michael Schmitt","CAR-T, Gene Therapy, Stem Cell Transplant, Precision Medicine","Kymriah, Yescarta, Breyanzi","Novartis, Gilead/Kite, BMS","CAR-T trials, Gene therapy protocols, Precision oncology research","University Hospital Heidelberg, German Research Foundation",500+ cellular therapy patients,No,Yes,"German health coverage, International services, Research participation"
